,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,POPULATION,GDP,GDP_PER_CAPITA
86,2002_OREGON,OREGON,2002,549604.0,4772603.0,395295.0,2662513.0,1714795.0,4980466.0,2475697.0,1597299.0,171505.0,557041.0,,,220.0,268.0,3513424,139645.3,0.03974621338045166
87,2002_PENNSYLVANIA,PENNSYLVANIA,2002,1766513.0,18586743.0,1290818.0,6637673.0,10658252.0,20018554.0,9673879.0,5448465.0,757486.0,2252267.0,,,221.0,265.0,12331031,549673.5,0.04457644295923025
88,2002_RHODE_ISLAND,RHODE_ISLAND,2002,156624.0,1633707.0,96488.0,676371.0,860848.0,1600087.0,964169.0,484397.0,56173.0,27003.0,,,220.0,262.0,1065995,47584.9,0.04463895234030178
89,2002_SOUTH_CAROLINA,SOUTH_CAROLINA,2002,674347.0,5627004.0,494207.0,2857497.0,2275300.0,5897462.0,2832106.0,1620800.0,315248.0,956612.0,,,214.0,258.0,4107795,154711.8,0.03766297977382026
90,2002_SOUTH_DAKOTA,SOUTH_DAKOTA,2002,127129.0,930874.0,127130.0,346086.0,457658.0,981977.0,485846.0,271549.0,42634.0,149374.0,,,,,760020,32767.8,0.04311439172653351
91,2002_TENNESSEE,TENNESSEE,2002,897695.0,5785857.0,550490.0,2544653.0,2690714.0,6363357.0,3478604.0,1624709.0,328546.0,762594.0,,,214.0,260.0,5795918,240535.8,0.04150089770076112
92,2002_TEXAS,TEXAS,2002,4112315.0,32802734.0,2941562.0,12930564.0,16930608.0,35668486.0,16826484.0,9580137.0,1582967.0,5399775.0,,,217.0,262.0,21690325,1042350.8,0.048056024978878835
93,2002_UTAH,UTAH,2002,480526.0,2865058.0,238599.0,1680625.0,945834.0,2924051.0,1534954.0,683525.0,200572.0,426219.0,,,222.0,263.0,2324815,95899.2,0.041250250019894054
94,2002_VERMONT,VERMONT,2002,96427.0,1387074.0,68819.0,766164.0,552091.0,1392880.0,628188.0,326292.0,31686.0,65657.0,,,227.0,272.0,615442,24452.8,0.03973209498214291
95,2002_VIRGINIA,VIRGINIA,2002,1162045.0,9914221.0,624507.0,4002347.0,5287367.0,10209197.0,5373701.0,3003921.0,399357.0,1127185.0,,,225.0,269.0,7286873,362314.0,0.04972146488624133
