PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1996_LOUISIANA,LOUISIANA,1996,796087.0,3879633.0,468363.0,1978056.0,1433214.0,3815375.0,2078321.0,1117936.0,299287.0,236616.0,,,,
1996_MAINE,MAINE,1996,213601.0,1485138.0,78626.0,647382.0,759130.0,1465093.0,857253.0,398040.0,63537.0,62645.0,,,,
1996_MARYLAND,MARYLAND,1996,805544.0,5688918.0,271806.0,2163187.0,3253925.0,5825606.0,3197895.0,1856055.0,251330.0,449601.0,,,,
1996_MASSACHUSETTS,MASSACHUSETTS,1996,912330.0,7129757.0,302167.0,3028094.0,3799496.0,7479576.0,4171772.0,1953199.0,221882.0,360126.0,,,,
1996_MICHIGAN,MICHIGAN,1996,1631131.0,13012080.0,648922.0,8462687.0,3900471.0,13071893.0,6452165.0,4205956.0,691888.0,919074.0,,,,
1996_MINNESOTA,MINNESOTA,1996,827418.0,6101416.0,241241.0,3435468.0,2424707.0,6423285.0,3204906.0,1522656.0,551475.0,762106.0,,,,
1996_MISSISSIPPI,MISSISSIPPI,1996,503602.0,2241561.0,295014.0,1285429.0,661118.0,2268726.0,1238512.0,599427.0,166353.0,231093.0,,,,
1996_MISSOURI,MISSOURI,1996,873867.0,5251014.0,324566.0,2536393.0,2390055.0,5277785.0,2745318.0,1521493.0,283616.0,568575.0,,,,
1996_MONTANA,MONTANA,1996,165390.0,944623.0,90354.0,452250.0,402019.0,924259.0,538091.0,289907.0,37370.0,48074.0,,,,
1996_NEBRASKA,NEBRASKA,1996,289251.0,1909834.0,100886.0,574359.0,1234589.0,1940808.0,1067391.0,497288.0,71038.0,247543.0,,,,
1996_NEVADA,NEVADA,1996,265041.0,1551169.0,67278.0,997400.0,486491.0,1608989.0,767237.0,483238.0,53033.0,229949.0,,,,
1996_NEW_HAMPSHIRE,NEW_HAMPSHIRE,1996,191004.0,1269380.0,40622.0,84837.0,1143921.0,1295106.0,725549.0,340457.0,42174.0,97166.0,,,,
1996_NEW_JERSEY,NEW_JERSEY,1996,1193928.0,12389781.0,408872.0,4589725.0,7391184.0,12469216.0,6636622.0,4099193.0,469558.0,753213.0,,,,
1996_NEW_MEXICO,NEW_MEXICO,1996,329661.0,1750519.0,215525.0,1281567.0,253427.0,1642517.0,798365.0,519816.0,81877.0,218014.0,,,,
1996_NEW_YORK,NEW_YORK,1996,2788343.0,26026366.0,1510447.0,10284155.0,14231764.0,26974514.0,15973623.0,6953428.0,942356.0,1835923.0,,,,
1996_NORTH_CAROLINA,NORTH_CAROLINA,1996,1181600.0,6516400.0,443121.0,3971818.0,2101461.0,6517111.0,3527936.0,1780725.0,402269.0,687268.0,,,,
1996_NORTH_DAKOTA,NORTH_DAKOTA,1996,119102.0,655971.0,69370.0,267306.0,319295.0,657809.0,338326.0,169545.0,52456.0,52160.0,,,,
1996_OHIO,OHIO,1996,1837628.0,12172778.0,704629.0,4831397.0,6636752.0,11935582.0,6291682.0,4046180.0,532065.0,843253.0,,,,
1996_OKLAHOMA,OKLAHOMA,1996,616436.0,3185234.0,278281.0,1856294.0,1050659.0,3195426.0,1640558.0,948125.0,299920.0,255103.0,,,,
1996_OREGON,OREGON,1996,527769.0,3375710.0,192228.0,1822648.0,1360834.0,3509765.0,1879638.0,1104418.0,116224.0,305484.0,,,,
1996_PENNSYLVANIA,PENNSYLVANIA,1996,1764117.0,14671368.0,760182.0,5629751.0,8281435.0,15048791.0,7960931.0,4101534.0,580399.0,1195395.0,,,,
1996_RHODE_ISLAND,RHODE_ISLAND,1996,148977.0,1135192.0,57826.0,459171.0,618195.0,1092459.0,699778.0,321959.0,24931.0,20181.0,,,,
1996_SOUTH_CAROLINA,SOUTH_CAROLINA,1996,635678.0,3594408.0,287181.0,1870037.0,1437190.0,3493720.0,1820849.0,986157.0,235742.0,367884.0,,,,
1996_SOUTH_DAKOTA,SOUTH_DAKOTA,1996,136394.0,710728.0,67493.0,209375.0,433860.0,689818.0,383377.0,201190.0,32183.0,56451.0,,,,
