,0,1992_NAs,1993_NAs,1994_NAs,1995_NAs,1996_NAs,1997_NAs,1998_NAs,1999_NAs,2000_NAs,2001_NAs,2002_NAs,2003_NAs,2004_NAs,2005_NAs,2006_NAs,2007_NAs,2008_NAs,2009_NAs,2010_NAs,2011_NAs,2012_NAs,2013_NAs,2014_NAs,2015_NAs,2016_NAs,2017_NAs,2018_NAs,2019_NAs
176,G11_HI_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,1,2,0,2,0,2,0,53,0.0,53
177,G11_HI_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
178,G11_HP_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,40,1,2,1,4,1,3,1,53,0.0,53
179,G11_HP_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,41,3,2,0,3,2,4,0,53,0.0,53
180,G11_TR_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
181,G11_TR_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
182,G11_WH_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
183,G11_WH_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
184,G12_AM_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,3,0,2,0,2,1,2,0,53,0.0,53
185,G12_AM_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,3,0,2,0,3,1,2,0,53,0.0,53
186,G12_AS_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
